section,metric,paas,iaas,notes
Teste 1 - Extended Events,mediana_tx_total_ms,,,
Teste 1 - Extended Events,p95_tx_total_ms,,,
Teste 1 - Extended Events,mediana_gap_ms,,,
Teste 1 - Extended Events,p95_gap_ms,,,
Teste 1 - Extended Events,round_trips_medio,,,
Teste 1 - Extended Events,pct_exec_ms_medio,,,
Teste 1 - Extended Events,pct_gap_ms_medio,,,
Teste 2 - Thread dumps,total_threads_classificadas,,,
Teste 2 - Thread dumps,pct_socketRead,,,
Teste 2 - Thread dumps,pct_lock_park,,,
Teste 2 - Thread dumps,pct_infinispan_rpc,,,
Teste 2 - Thread dumps,pct_outros,,,
Teste 2 - Thread dumps,moda_estado_threads,,,
Teste 3 - Query Store,pct_seek,,,
Teste 3 - Query Store,pct_scan,,,
Teste 3 - Query Store,pct_outro,,,
Teste 3 - Query Store,queries_com_convert_implicit,,,
Conclusao,hipotese_dominante_(A/B/C),,,
Conclusao,proximo_passo_definido,,,
